user_id,q_text,a_text,q_sentiment,a_sentiment
59,医药 消费 产业轮动,新能源 基金 长期 定投,0,0
60,海外 ETF 汇率 风险,海外 ETF 汇率 风险,-1,0
61,长期 持有 价值,黄金 商品 抗通胀,-1,-1
62,债券 固收 低波动,海外 ETF 汇率 风险,1,0
63,长期 持有 价值,短线 交易 高频,1,1
64,海外 ETF 汇率 风险,价值 投资 蓝筹 稳健 分红,-1,1
65,价值 投资 蓝筹 稳健 分红,AI 半导体 成长 风险承受高,0,0
66,价值 投资 蓝筹 稳健 分红,新能源 基金 长期 定投,0,0
67,长期 持有 价值,黄金 商品 抗通胀,1,0
68,新能源 基金 长期 定投,新能源 基金 长期 定投,0,1
69,长期 持有 价值,AI 半导体 成长 风险承受高,-1,1
70,短线 交易 高频,价值 投资 蓝筹 稳健 分红,0,0
71,新能源 基金 长期 定投,长期 持有 价值,0,0
72,黄金 商品 抗通胀,债券 固收 低波动,1,1
73,长期 持有 价值,短线 交易 高频,-1,0
74,医药 消费 产业轮动,债券 固收 低波动,1,1
75,债券 固收 低波动,债券 固收 低波动,1,0
76,海外 ETF 汇率 风险,短线 交易 高频,-1,0
77,长期 持有 价值,短线 交易 高频,0,0
78,海外 ETF 汇率 风险,债券 固收 低波动,0,0
79,医药 消费 产业轮动,新能源 基金 长期 定投,0,-1
80,黄金 商品 抗通胀,新能源 基金 长期 定投,1,0
81,长期 持有 价值,新能源 基金 长期 定投,0,-1
82,长期 持有 价值,长期 持有 价值,0,1
83,债券 固收 低波动,长期 持有 价值,0,-1
84,短线 交易 高频,AI 半导体 成长 风险承受高,0,0
85,AI 半导体 成长 风险承受高,长期 持有 价值,1,0
86,长期 持有 价值,海外 ETF 汇率 风险,0,0
87,海外 ETF 汇率 风险,黄金 商品 抗通胀,1,0
88,医药 消费 产业轮动,黄金 商品 抗通胀,1,0
89,医药 消费 产业轮动,价值 投资 蓝筹 稳健 分红,1,0
90,医药 消费 产业轮动,新能源 基金 长期 定投,0,-1
91,AI 半导体 成长 风险承受高,价值 投资 蓝筹 稳健 分红,1,1
92,新能源 基金 长期 定投,黄金 商品 抗通胀,0,-1
93,海外 ETF 汇率 风险,海外 ETF 汇率 风险,0,0
94,价值 投资 蓝筹 稳健 分红,海外 ETF 汇率 风险,0,0
95,医药 消费 产业轮动,医药 消费 产业轮动,0,-1
96,债券 固收 低波动,短线 交易 高频,0,-1
97,AI 半导体 成长 风险承受高,AI 半导体 成长 风险承受高,0,0
98,AI 半导体 成长 风险承受高,价值 投资 蓝筹 稳健 分红,0,1
99,新能源 基金 长期 定投,海外 ETF 汇率 风险,-1,0
100,AI 半导体 成长 风险承受高,债券 固收 低波动,-1,0
101,海外 ETF 汇率 风险,黄金 商品 抗通胀,0,1
102,医药 消费 产业轮动,短线 交易 高频,0,-1
103,海外 ETF 汇率 风险,长期 持有 价值,1,0
104,海外 ETF 汇率 风险,价值 投资 蓝筹 稳健 分红,0,0
105,新能源 基金 长期 定投,长期 持有 价值,0,0
106,债券 固收 低波动,新能源 基金 长期 定投,0,-1
107,债券 固收 低波动,AI 半导体 成长 风险承受高,0,0
108,债券 固收 低波动,AI 半导体 成长 风险承受高,0,0
109,黄金 商品 抗通胀,价值 投资 蓝筹 稳健 分红,0,1
110,价值 投资 蓝筹 稳健 分红,新能源 基金 长期 定投,-1,0
111,长期 持有 价值,债券 固收 低波动,-1,1
112,债券 固收 低波动,短线 交易 高频,0,-1
113,海外 ETF 汇率 风险,价值 投资 蓝筹 稳健 分红,1,1
114,海外 ETF 汇率 风险,医药 消费 产业轮动,-1,1
115,AI 半导体 成长 风险承受高,价值 投资 蓝筹 稳健 分红,0,0
116,黄金 商品 抗通胀,黄金 商品 抗通胀,0,0
117,价值 投资 蓝筹 稳健 分红,海外 ETF 汇率 风险,1,0
118,海外 ETF 汇率 风险,黄金 商品 抗通胀,1,-1
119,黄金 商品 抗通胀,海外 ETF 汇率 风险,-1,1
120,价值 投资 蓝筹 稳健 分红,新能源 基金 长期 定投,0,1
121,海外 ETF 汇率 风险,价值 投资 蓝筹 稳健 分红,0,1
122,长期 持有 价值,价值 投资 蓝筹 稳健 分红,0,0
123,黄金 商品 抗通胀,价值 投资 蓝筹 稳健 分红,1,0
124,债券 固收 低波动,短线 交易 高频,1,1
125,医药 消费 产业轮动,医药 消费 产业轮动,0,0
126,债券 固收 低波动,长期 持有 价值,1,0
127,医药 消费 产业轮动,长期 持有 价值,0,1
128,海外 ETF 汇率 风险,AI 半导体 成长 风险承受高,-1,0
129,海外 ETF 汇率 风险,黄金 商品 抗通胀,1,0
130,医药 消费 产业轮动,债券 固收 低波动,-1,0
131,价值 投资 蓝筹 稳健 分红,价值 投资 蓝筹 稳健 分红,1,0
132,海外 ETF 汇率 风险,黄金 商品 抗通胀,0,1
133,医药 消费 产业轮动,长期 持有 价值,1,-1
134,海外 ETF 汇率 风险,AI 半导体 成长 风险承受高,1,0
135,债券 固收 低波动,短线 交易 高频,-1,0
136,长期 持有 价值,AI 半导体 成长 风险承受高,1,1
137,AI 半导体 成长 风险承受高,AI 半导体 成长 风险承受高,1,1
138,债券 固收 低波动,短线 交易 高频,0,1
139,黄金 商品 抗通胀,新能源 基金 长期 定投,0,1
140,债券 固收 低波动,医药 消费 产业轮动,0,0
141,短线 交易 高频,医药 消费 产业轮动,0,0
142,新能源 基金 长期 定投,海外 ETF 汇率 风险,-1,-1
143,债券 固收 低波动,债券 固收 低波动,1,1
144,价值 投资 蓝筹 稳健 分红,黄金 商品 抗通胀,1,0
145,新能源 基金 长期 定投,新能源 基金 长期 定投,-1,-1
146,价值 投资 蓝筹 稳健 分红,海外 ETF 汇率 风险,0,0
147,海外 ETF 汇率 风险,海外 ETF 汇率 风险,1,0
148,AI 半导体 成长 风险承受高,新能源 基金 长期 定投,1,1
149,短线 交易 高频,海外 ETF 汇率 风险,0,0
150,长期 持有 价值,黄金 商品 抗通胀,0,1
151,海外 ETF 汇率 风险,黄金 商品 抗通胀,0,-1
152,新能源 基金 长期 定投,债券 固收 低波动,0,0
153,海外 ETF 汇率 风险,新能源 基金 长期 定投,0,1
154,短线 交易 高频,新能源 基金 长期 定投,0,1
155,短线 交易 高频,AI 半导体 成长 风险承受高,1,0
156,债券 固收 低波动,长期 持有 价值,1,-1
157,医药 消费 产业轮动,新能源 基金 长期 定投,0,0
158,价值 投资 蓝筹 稳健 分红,新能源 基金 长期 定投,0,0
159,AI 半导体 成长 风险承受高,医药 消费 产业轮动,0,-1
160,短线 交易 高频,医药 消费 产业轮动,1,0
161,长期 持有 价值,海外 ETF 汇率 风险,-1,-1
162,短线 交易 高频,债券 固收 低波动,0,0
163,长期 持有 价值,黄金 商品 抗通胀,-1,1
164,短线 交易 高频,债券 固收 低波动,0,-1
165,价值 投资 蓝筹 稳健 分红,长期 持有 价值,1,1
166,黄金 商品 抗通胀,AI 半导体 成长 风险承受高,1,1
167,价值 投资 蓝筹 稳健 分红,黄金 商品 抗通胀,1,0
168,黄金 商品 抗通胀,债券 固收 低波动,1,1
169,短线 交易 高频,债券 固收 低波动,1,-1
170,价值 投资 蓝筹 稳健 分红,短线 交易 高频,0,1
171,新能源 基金 长期 定投,债券 固收 低波动,1,-1
172,海外 ETF 汇率 风险,债券 固收 低波动,0,1
173,海外 ETF 汇率 风险,短线 交易 高频,1,0
174,长期 持有 价值,AI 半导体 成长 风险承受高,-1,1
175,医药 消费 产业轮动,AI 半导体 成长 风险承受高,1,0
176,AI 半导体 成长 风险承受高,医药 消费 产业轮动,0,1
177,AI 半导体 成长 风险承受高,AI 半导体 成长 风险承受高,-1,-1
178,长期 持有 价值,短线 交易 高频,0,1
179,长期 持有 价值,债券 固收 低波动,0,0
180,价值 投资 蓝筹 稳健 分红,医药 消费 产业轮动,0,0
181,新能源 基金 长期 定投,债券 固收 低波动,-1,0
182,海外 ETF 汇率 风险,海外 ETF 汇率 风险,0,0
183,黄金 商品 抗通胀,短线 交易 高频,-1,0
184,医药 消费 产业轮动,价值 投资 蓝筹 稳健 分红,1,-1
185,价值 投资 蓝筹 稳健 分红,长期 持有 价值,1,0
186,价值 投资 蓝筹 稳健 分红,债券 固收 低波动,0,-1
187,价值 投资 蓝筹 稳健 分红,债券 固收 低波动,1,1
188,新能源 基金 长期 定投,长期 持有 价值,0,1
189,短线 交易 高频,价值 投资 蓝筹 稳健 分红,1,0
190,短线 交易 高频,海外 ETF 汇率 风险,1,1
191,海外 ETF 汇率 风险,价值 投资 蓝筹 稳健 分红,0,1
192,债券 固收 低波动,海外 ETF 汇率 风险,-1,-1
193,债券 固收 低波动,医药 消费 产业轮动,1,0
194,短线 交易 高频,短线 交易 高频,0,0
195,黄金 商品 抗通胀,价值 投资 蓝筹 稳健 分红,0,-1
196,海外 ETF 汇率 风险,价值 投资 蓝筹 稳健 分红,0,1
197,债券 固收 低波动,价值 投资 蓝筹 稳健 分红,-1,0
198,AI 半导体 成长 风险承受高,黄金 商品 抗通胀,0,-1
199,黄金 商品 抗通胀,黄金 商品 抗通胀,0,1
200,医药 消费 产业轮动,医药 消费 产业轮动,0,0
201,新能源 基金 长期 定投,债券 固收 低波动,-1,0
202,黄金 商品 抗通胀,价值 投资 蓝筹 稳健 分红,-1,1
203,黄金 商品 抗通胀,黄金 商品 抗通胀,0,0
204,债券 固收 低波动,医药 消费 产业轮动,0,1
205,短线 交易 高频,短线 交易 高频,1,0
206,黄金 商品 抗通胀,价值 投资 蓝筹 稳健 分红,1,0
207,新能源 基金 长期 定投,医药 消费 产业轮动,0,0
208,黄金 商品 抗通胀,AI 半导体 成长 风险承受高,0,1
209,长期 持有 价值,新能源 基金 长期 定投,1,1
210,新能源 基金 长期 定投,黄金 商品 抗通胀,-1,0
211,长期 持有 价值,海外 ETF 汇率 风险,1,-1
212,长期 持有 价值,短线 交易 高频,-1,0
213,债券 固收 低波动,AI 半导体 成长 风险承受高,0,-1
214,新能源 基金 长期 定投,AI 半导体 成长 风险承受高,1,0
215,长期 持有 价值,新能源 基金 长期 定投,0,1
216,债券 固收 低波动,黄金 商品 抗通胀,1,0
217,短线 交易 高频,医药 消费 产业轮动,-1,1
218,海外 ETF 汇率 风险,价值 投资 蓝筹 稳健 分红,1,1
219,新能源 基金 长期 定投,长期 持有 价值,0,0
220,价值 投资 蓝筹 稳健 分红,海外 ETF 汇率 风险,1,0
221,海外 ETF 汇率 风险,新能源 基金 长期 定投,1,1
222,短线 交易 高频,价值 投资 蓝筹 稳健 分红,1,1
223,海外 ETF 汇率 风险,医药 消费 产业轮动,0,1
224,AI 半导体 成长 风险承受高,AI 半导体 成长 风险承受高,0,1
225,AI 半导体 成长 风险承受高,债券 固收 低波动,1,0
226,价值 投资 蓝筹 稳健 分红,长期 持有 价值,0,0
227,医药 消费 产业轮动,价值 投资 蓝筹 稳健 分红,-1,0
228,新能源 基金 长期 定投,长期 持有 价值,1,0
229,新能源 基金 长期 定投,海外 ETF 汇率 风险,0,1
230,黄金 商品 抗通胀,黄金 商品 抗通胀,0,-1
231,债券 固收 低波动,黄金 商品 抗通胀,1,0
232,长期 持有 价值,债券 固收 低波动,-1,0
233,新能源 基金 长期 定投,长期 持有 价值,-1,1
234,债券 固收 低波动,债券 固收 低波动,-1,1
235,黄金 商品 抗通胀,海外 ETF 汇率 风险,0,0
236,AI 半导体 成长 风险承受高,医药 消费 产业轮动,0,1
237,海外 ETF 汇率 风险,医药 消费 产业轮动,1,1
238,新能源 基金 长期 定投,AI 半导体 成长 风险承受高,0,0
239,债券 固收 低波动,债券 固收 低波动,-1,0
240,黄金 商品 抗通胀,海外 ETF 汇率 风险,1,0
241,短线 交易 高频,长期 持有 价值,0,0
242,新能源 基金 长期 定投,短线 交易 高频,-1,1
243,黄金 商品 抗通胀,新能源 基金 长期 定投,0,-1
244,价值 投资 蓝筹 稳健 分红,AI 半导体 成长 风险承受高,-1,0
245,债券 固收 低波动,债券 固收 低波动,0,0
246,价值 投资 蓝筹 稳健 分红,AI 半导体 成长 风险承受高,-1,-1
247,海外 ETF 汇率 风险,海外 ETF 汇率 风险,0,1
248,短线 交易 高频,价值 投资 蓝筹 稳健 分红,0,0
249,AI 半导体 成长 风险承受高,海外 ETF 汇率 风险,1,0
250,债券 固收 低波动,黄金 商品 抗通胀,0,0
251,短线 交易 高频,海外 ETF 汇率 风险,1,0
252,新能源 基金 长期 定投,价值 投资 蓝筹 稳健 分红,1,-1
253,债券 固收 低波动,短线 交易 高频,0,0
254,医药 消费 产业轮动,债券 固收 低波动,-1,1
255,长期 持有 价值,债券 固收 低波动,0,0
256,价值 投资 蓝筹 稳健 分红,长期 持有 价值,1,0
257,海外 ETF 汇率 风险,医药 消费 产业轮动,-1,0
258,长期 持有 价值,AI 半导体 成长 风险承受高,-1,-1
259,价值 投资 蓝筹 稳健 分红,海外 ETF 汇率 风险,0,0
260,AI 半导体 成长 风险承受高,长期 持有 价值,0,1
261,AI 半导体 成长 风险承受高,债券 固收 低波动,-1,1
262,医药 消费 产业轮动,价值 投资 蓝筹 稳健 分红,1,1
263,短线 交易 高频,价值 投资 蓝筹 稳健 分红,0,1
264,医药 消费 产业轮动,黄金 商品 抗通胀,-1,0
265,价值 投资 蓝筹 稳健 分红,长期 持有 价值,0,-1
266,AI 半导体 成长 风险承受高,AI 半导体 成长 风险承受高,-1,-1
267,新能源 基金 长期 定投,债券 固收 低波动,-1,0
268,新能源 基金 长期 定投,AI 半导体 成长 风险承受高,1,1
269,短线 交易 高频,长期 持有 价值,1,1
270,海外 ETF 汇率 风险,债券 固收 低波动,-1,0
271,价值 投资 蓝筹 稳健 分红,黄金 商品 抗通胀,0,1
272,医药 消费 产业轮动,价值 投资 蓝筹 稳健 分红,0,1
273,医药 消费 产业轮动,价值 投资 蓝筹 稳健 分红,0,0
274,短线 交易 高频,医药 消费 产业轮动,-1,0
275,AI 半导体 成长 风险承受高,AI 半导体 成长 风险承受高,1,0
276,新能源 基金 长期 定投,医药 消费 产业轮动,0,-1
277,AI 半导体 成长 风险承受高,短线 交易 高频,1,1
278,价值 投资 蓝筹 稳健 分红,医药 消费 产业轮动,0,-1
279,短线 交易 高频,新能源 基金 长期 定投,0,1
280,海外 ETF 汇率 风险,AI 半导体 成长 风险承受高,1,1
281,AI 半导体 成长 风险承受高,长期 持有 价值,1,1
282,AI 半导体 成长 风险承受高,AI 半导体 成长 风险承受高,-1,1
283,AI 半导体 成长 风险承受高,AI 半导体 成长 风险承受高,-1,0
284,AI 半导体 成长 风险承受高,海外 ETF 汇率 风险,0,0
285,短线 交易 高频,黄金 商品 抗通胀,0,-1
286,长期 持有 价值,医药 消费 产业轮动,-1,1
287,医药 消费 产业轮动,黄金 商品 抗通胀,-1,-1
288,AI 半导体 成长 风险承受高,债券 固收 低波动,0,1
289,黄金 商品 抗通胀,医药 消费 产业轮动,0,1
290,价值 投资 蓝筹 稳健 分红,债券 固收 低波动,0,0
291,AI 半导体 成长 风险承受高,海外 ETF 汇率 风险,1,0
292,海外 ETF 汇率 风险,黄金 商品 抗通胀,0,0
293,AI 半导体 成长 风险承受高,价值 投资 蓝筹 稳健 分红,0,1
294,新能源 基金 长期 定投,新能源 基金 长期 定投,0,0
295,新能源 基金 长期 定投,AI 半导体 成长 风险承受高,0,0
296,黄金 商品 抗通胀,债券 固收 低波动,0,0
297,长期 持有 价值,价值 投资 蓝筹 稳健 分红,0,0
298,债券 固收 低波动,短线 交易 高频,0,1
299,长期 持有 价值,新能源 基金 长期 定投,1,0
300,海外 ETF 汇率 风险,短线 交易 高频,0,1
301,海外 ETF 汇率 风险,债券 固收 低波动,0,0
302,债券 固收 低波动,新能源 基金 长期 定投,0,0
303,医药 消费 产业轮动,价值 投资 蓝筹 稳健 分红,-1,1
304,海外 ETF 汇率 风险,长期 持有 价值,1,0
305,黄金 商品 抗通胀,AI 半导体 成长 风险承受高,0,-1
306,医药 消费 产业轮动,新能源 基金 长期 定投,0,0
307,海外 ETF 汇率 风险,新能源 基金 长期 定投,-1,0
308,价值 投资 蓝筹 稳健 分红,债券 固收 低波动,0,0
309,AI 半导体 成长 风险承受高,短线 交易 高频,-1,1
310,短线 交易 高频,新能源 基金 长期 定投,1,1
311,海外 ETF 汇率 风险,新能源 基金 长期 定投,-1,0
312,新能源 基金 长期 定投,短线 交易 高频,0,0
313,长期 持有 价值,黄金 商品 抗通胀,0,0
314,长期 持有 价值,债券 固收 低波动,0,0
315,黄金 商品 抗通胀,价值 投资 蓝筹 稳健 分红,-1,0
316,长期 持有 价值,短线 交易 高频,1,-1
317,新能源 基金 长期 定投,AI 半导体 成长 风险承受高,-1,-1
318,海外 ETF 汇率 风险,黄金 商品 抗通胀,1,1
319,AI 半导体 成长 风险承受高,长期 持有 价值,0,1
320,海外 ETF 汇率 风险,AI 半导体 成长 风险承受高,1,1
321,黄金 商品 抗通胀,债券 固收 低波动,0,1
322,价值 投资 蓝筹 稳健 分红,短线 交易 高频,1,1
323,价值 投资 蓝筹 稳健 分红,黄金 商品 抗通胀,0,0
324,AI 半导体 成长 风险承受高,医药 消费 产业轮动,0,-1
325,新能源 基金 长期 定投,黄金 商品 抗通胀,-1,-1
326,短线 交易 高频,黄金 商品 抗通胀,1,0
327,价值 投资 蓝筹 稳健 分红,新能源 基金 长期 定投,-1,-1
328,AI 半导体 成长 风险承受高,医药 消费 产业轮动,0,0
329,黄金 商品 抗通胀,长期 持有 价值,0,1
330,AI 半导体 成长 风险承受高,新能源 基金 长期 定投,1,1
331,医药 消费 产业轮动,长期 持有 价值,0,1
332,短线 交易 高频,价值 投资 蓝筹 稳健 分红,1,1
333,短线 交易 高频,短线 交易 高频,-1,-1
334,债券 固收 低波动,AI 半导体 成长 风险承受高,-1,0
335,债券 固收 低波动,债券 固收 低波动,0,-1
336,债券 固收 低波动,黄金 商品 抗通胀,-1,-1
337,医药 消费 产业轮动,债券 固收 低波动,1,0
338,债券 固收 低波动,医药 消费 产业轮动,-1,1
339,价值 投资 蓝筹 稳健 分红,医药 消费 产业轮动,-1,1
340,医药 消费 产业轮动,价值 投资 蓝筹 稳健 分红,1,1
341,长期 持有 价值,短线 交易 高频,0,0
342,价值 投资 蓝筹 稳健 分红,短线 交易 高频,0,0
343,短线 交易 高频,黄金 商品 抗通胀,0,0
344,医药 消费 产业轮动,AI 半导体 成长 风险承受高,0,0
345,海外 ETF 汇率 风险,AI 半导体 成长 风险承受高,0,1
346,医药 消费 产业轮动,海外 ETF 汇率 风险,1,1
347,新能源 基金 长期 定投,AI 半导体 成长 风险承受高,0,0
348,医药 消费 产业轮动,长期 持有 价值,0,-1
349,AI 半导体 成长 风险承受高,新能源 基金 长期 定投,1,1
350,价值 投资 蓝筹 稳健 分红,短线 交易 高频,-1,0
351,债券 固收 低波动,短线 交易 高频,0,0
352,价值 投资 蓝筹 稳健 分红,债券 固收 低波动,0,0
353,海外 ETF 汇率 风险,海外 ETF 汇率 风险,0,0
354,海外 ETF 汇率 风险,AI 半导体 成长 风险承受高,0,0
355,价值 投资 蓝筹 稳健 分红,海外 ETF 汇率 风险,0,1
356,新能源 基金 长期 定投,AI 半导体 成长 风险承受高,0,1
357,价值 投资 蓝筹 稳健 分红,医药 消费 产业轮动,0,0
358,债券 固收 低波动,长期 持有 价值,0,1
359,医药 消费 产业轮动,价值 投资 蓝筹 稳健 分红,1,0
360,海外 ETF 汇率 风险,长期 持有 价值,1,0
361,价值 投资 蓝筹 稳健 分红,海外 ETF 汇率 风险,1,0
362,债券 固收 低波动,AI 半导体 成长 风险承受高,0,-1
363,长期 持有 价值,短线 交易 高频,0,1
364,价值 投资 蓝筹 稳健 分红,黄金 商品 抗通胀,1,0
365,AI 半导体 成长 风险承受高,新能源 基金 长期 定投,-1,-1
366,短线 交易 高频,黄金 商品 抗通胀,0,0
367,短线 交易 高频,债券 固收 低波动,0,1
368,海外 ETF 汇率 风险,债券 固收 低波动,1,-1
369,黄金 商品 抗通胀,医药 消费 产业轮动,0,1
370,黄金 商品 抗通胀,债券 固收 低波动,0,1
371,AI 半导体 成长 风险承受高,AI 半导体 成长 风险承受高,1,0
372,价值 投资 蓝筹 稳健 分红,医药 消费 产业轮动,0,0
373,医药 消费 产业轮动,医药 消费 产业轮动,1,0
374,短线 交易 高频,黄金 商品 抗通胀,1,0
375,债券 固收 低波动,黄金 商品 抗通胀,-1,1
376,短线 交易 高频,债券 固收 低波动,-1,1
377,新能源 基金 长期 定投,AI 半导体 成长 风险承受高,1,0
378,长期 持有 价值,价值 投资 蓝筹 稳健 分红,0,1
379,黄金 商品 抗通胀,AI 半导体 成长 风险承受高,-1,0
380,债券 固收 低波动,AI 半导体 成长 风险承受高,1,0
381,短线 交易 高频,AI 半导体 成长 风险承受高,1,-1
382,短线 交易 高频,新能源 基金 长期 定投,-1,-1
383,AI 半导体 成长 风险承受高,短线 交易 高频,1,0
384,新能源 基金 长期 定投,黄金 商品 抗通胀,0,0
385,AI 半导体 成长 风险承受高,医药 消费 产业轮动,0,0
386,黄金 商品 抗通胀,债券 固收 低波动,1,-1
387,新能源 基金 长期 定投,短线 交易 高频,0,1
388,海外 ETF 汇率 风险,长期 持有 价值,0,-1
389,债券 固收 低波动,黄金 商品 抗通胀,-1,0
390,黄金 商品 抗通胀,价值 投资 蓝筹 稳健 分红,0,1
391,价值 投资 蓝筹 稳健 分红,海外 ETF 汇率 风险,0,0
392,价值 投资 蓝筹 稳健 分红,黄金 商品 抗通胀,0,-1
393,AI 半导体 成长 风险承受高,短线 交易 高频,1,-1
394,黄金 商品 抗通胀,黄金 商品 抗通胀,0,-1
395,短线 交易 高频,黄金 商品 抗通胀,-1,0
396,债券 固收 低波动,海外 ETF 汇率 风险,-1,0
397,海外 ETF 汇率 风险,长期 持有 价值,0,0
398,长期 持有 价值,AI 半导体 成长 风险承受高,1,1
399,AI 半导体 成长 风险承受高,短线 交易 高频,-1,-1
400,短线 交易 高频,黄金 商品 抗通胀,1,-1
401,长期 持有 价值,短线 交易 高频,-1,0
402,长期 持有 价值,AI 半导体 成长 风险承受高,0,0
403,新能源 基金 长期 定投,AI 半导体 成长 风险承受高,0,1
404,新能源 基金 长期 定投,新能源 基金 长期 定投,1,1
405,黄金 商品 抗通胀,长期 持有 价值,0,-1
406,债券 固收 低波动,AI 半导体 成长 风险承受高,0,-1
407,医药 消费 产业轮动,海外 ETF 汇率 风险,0,0
408,海外 ETF 汇率 风险,短线 交易 高频,0,1
409,短线 交易 高频,海外 ETF 汇率 风险,1,1
410,价值 投资 蓝筹 稳健 分红,价值 投资 蓝筹 稳健 分红,-1,1
411,AI 半导体 成长 风险承受高,债券 固收 低波动,-1,1
412,长期 持有 价值,黄金 商品 抗通胀,0,0
413,债券 固收 低波动,短线 交易 高频,0,0
414,债券 固收 低波动,AI 半导体 成长 风险承受高,0,0
415,黄金 商品 抗通胀,新能源 基金 长期 定投,0,0
416,新能源 基金 长期 定投,医药 消费 产业轮动,-1,1
417,长期 持有 价值,长期 持有 价值,1,0
418,海外 ETF 汇率 风险,短线 交易 高频,0,1
419,价值 投资 蓝筹 稳健 分红,长期 持有 价值,0,1
420,新能源 基金 长期 定投,黄金 商品 抗通胀,1,0
421,长期 持有 价值,新能源 基金 长期 定投,0,1
422,AI 半导体 成长 风险承受高,长期 持有 价值,0,-1
423,短线 交易 高频,新能源 基金 长期 定投,0,1
424,价值 投资 蓝筹 稳健 分红,医药 消费 产业轮动,1,0
425,AI 半导体 成长 风险承受高,债券 固收 低波动,0,0
426,黄金 商品 抗通胀,医药 消费 产业轮动,-1,1
427,黄金 商品 抗通胀,海外 ETF 汇率 风险,-1,0
428,短线 交易 高频,债券 固收 低波动,0,0
429,债券 固收 低波动,海外 ETF 汇率 风险,0,0
430,短线 交易 高频,短线 交易 高频,1,0
431,医药 消费 产业轮动,医药 消费 产业轮动,1,1
